Symbol   Exchange   Peak_date    Peak_Per  Sell_date   Sell_price      Split
IPCI      NASDAQ      2013-11-19    186.1%   2013-11-21   3.96 (3.96)  No_split
JAXB      NASDAQ      2013-11-14    2172.5%      None      11.55 (9.272)  split_warning
LOOK      NASDAQ      2013-11-14    192.2%      None      2.11 (1.8)  split_warning
OXBT      NASDAQ      2013-11-05    198.2%   2013-11-07   5.97 (6.704)  No_split
PESI      NASDAQ      2013-11-05    515.4%      None      3.4 (3.2)  split_warning
